entered,weeks_in_top_10,title,artist,peak,peak_reached,weeks_at_peak,id,duration_ms,explicit,popularity,tempo,title_words,vocals_start,year,album,preview_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,artwork
27-Dec-61,17,Stranger on the Shore,Mr. Acker Bilk and The Leon Young String Chorale,2,17-Jan-62,3,061pN2sHhLNI3vAPIHVn2R,176333,FALSE,37,94.774,4,176333,1961,instrumental classics,,0.94,0.319,0.322,0.742,10,0.104,-11.944,1,0.0359,4,0.275,https://i.scdn.co/image/ab67616d00001e027f5c61a910fdc959c2702107
29-Nov-69,12,"Ruby, Don't Take Your Love to Town",Kenny Rogers & The First Edition,2,13-Dec-69,6,5fXjKHiDTgrovkagABJqU1,179160,FALSE,25,108.986,7,1300,1969,the best of kenny rogers: 20th century masters the millennium collection,,0.351,0.671,0.556,0.0882,0,0.0963,-12.349,1,0.0371,4,0.948,https://i.scdn.co/image/ab67616d00001e02326349f408a4c6c204e992d4
08-Mar-75,10,Bye Bye Baby,The Bay City Rollers,1,22-Mar-75,6,7wC5vOh3fQibFYWjCIotKw,166066,FALSE,47,129.191,3,1500,1975,s-a-t-u-r-d-a-y night,https://p.scdn.co/mp3-preview/b3a4aeb248d21282aeb43d9faae02eb59f7f9149?cid=8b56eb9fa3db453f9b0089feea311c1b,0.387,0.627,0.497,0,7,0.05,-12.283,1,0.0271,4,0.688,https://i.scdn.co/image/ab67616d00001e025b646e3a50ea4f0e4c5b5aa3
11-Dec-63,12,Glad All Over,The Dave Clark Five,1,22-Jan-64,2,2w8oMeJjXn1KTnU2fr9eFB,163327,FALSE,47,137.789,3,4900,1963,glad all over (2019 - remaster),https://p.scdn.co/mp3-preview/c2ef37f6b3b4be8f0e505f5fa443e1e6df955ce8?cid=8b56eb9fa3db453f9b0089feea311c1b,0.152,0.462,0.803,0,2,0.0788,-8.357,1,0.0585,4,0.896,https://i.scdn.co/image/ab67616d00001e0286b70e6e83cf70beb5521fbd
15-Jul-69,11,Honky Tonk Women,The Rolling Stones,1,29-Jul-69,5,3RZMzCvYsmJ0u2ioKTOsmJ,179386,FALSE,64,119.602,3,17330,1969,hot rocks (1964-1971),,0.363,0.562,0.779,0.0292,7,0.066,-6.705,1,0.0592,4,0.967,https://i.scdn.co/image/ab67616d00001e02b11b3fc3c89477a7dd473bd7
22-Nov-03,12,Hey Ya!,OutKast,3,14-Feb-04,1,2PpruBYCo4H7WOBJ7Q2EwM,235213,FALSE,81,79.526,2,170,2003,speakerboxxx/the love below,https://p.scdn.co/mp3-preview/36edaaf99f026324cf2e3a6118ba3f02ea80fc31?cid=8b56eb9fa3db453f9b0089feea311c1b,0.103,0.727,0.974,0.000532,4,0.174,-2.261,0,0.0664,4,0.965,https://i.scdn.co/image/ab67616d00001e026a6387ab37f64034cdc7b367
30-Jan-93,12,No Limit,2 Unlimited,1,13-Feb-93,5,7voHUmPNDuYZ1SW1mwRu26,224220,FALSE,66,141.047,2,3500,1993,no limits,https://p.scdn.co/mp3-preview/07a6a12245a510850711438ca8fc50412c26eb9a?cid=8b56eb9fa3db453f9b0089feea311c1b,0.00872,0.65,0.985,0.00422,5,0.0485,-14.404,0,0.0445,4,0.757,https://i.scdn.co/image/ab67616d00001e029c4e4d6cc6065d732aaa7ba1
03-Sep-77,10,Silver Lady,David Soul,1,08-Oct-77,3,0aOkjSqYLGDljwtUNvAnoS,224426,FALSE,44,111.268,2,25000,1977,playing to an audience of one,https://p.scdn.co/mp3-preview/9b802dba7dd4e38a16e79737cfb6118e7db50483?cid=8b56eb9fa3db453f9b0089feea311c1b,0.36,0.715,0.494,9.22E-05,11,0.0736,-12.807,1,0.0294,4,0.768,https://i.scdn.co/image/ab67616d00001e0222509230d3506864e3404f1d
19-Dec-81,9,The Land of Make Believe,Bucks Fizz,1,16-Jan-82,2,37UqicRKCnIZ7XGdImMa4l,218786,FALSE,43,170.265,5,3000,1981,80s 100 hits,https://p.scdn.co/mp3-preview/cac574f2681826577243c2ba14ec5ba98394545c?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0986,0.57,0.676,0.0026,0,0.0668,-13.21,1,0.0717,4,0.843,https://i.scdn.co/image/ab67616d00001e02db56ceff816b668b7b6f04ff
25-Jun-11,13,The A Team,Ed Sheeran,3,25-Jun-11,4,1VdZ0vKfR5jneCmWIUAMxK,258373,FALSE,78,84.996,3,11500,2011,+,https://p.scdn.co/mp3-preview/37bf226e93591d438dde11e6404e3751a108084f?cid=8b56eb9fa3db453f9b0089feea311c1b,0.669,0.642,0.289,0,9,0.18,-9.918,1,0.0367,4,0.407,https://i.scdn.co/image/ab67616d00001e02f0e911d0e5aadefc431bf34a
15-Nov-18,12,"Thank U, Next",Ariana Grande,1,15-Nov-18,6,3e9HZxeyfWwjeyPAMmWSSQ,207320,TRUE,85,106.966,3,7500,2018,"thank u, next",,0.229,0.717,0.653,0,1,0.101,-5.634,1,0.0658,4,0.412,https://i.scdn.co/image/ab67616d00001e0256ac7b86e090f307e218e9c8
16-Mar-96,12,Return of the Mack,Mark Morrison,1,20-Apr-96,2,3jDdpx9PMlfMBS5tOBHFm9,213093,FALSE,75,95.487,4,11800,1996,return of the mack,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=8b56eb9fa3db453f9b0089feea311c1b,0.00631,0.715,0.833,0,2,0.164,-5.379,1,0.108,4,0.612,https://i.scdn.co/image/ab67616d00001e0201841d493ec3808242042c0f
16-Jul-77,10,Angelo,Brotherhood of Man,1,20-Aug-77,1,5ywgNVyvU45yrOGzx3PLXo,197502,FALSE,21,116.522,1,17200,1977,angelo,https://p.scdn.co/mp3-preview/a6ffc1bbb056fda68e0a0527be551c3ad410eefc?cid=8b56eb9fa3db453f9b0089feea311c1b,0.341,0.668,0.483,0,0,0.0872,-11.782,1,0.0365,4,0.833,https://i.scdn.co/image/ab67616d00001e021e04cb41db5d550db0ccd455
21-Jul-55,17,Rose Marie,Slim Whitman,1,04-Aug-55,11,0DRw1YzAejMK8Qv2MAPzJl,144466,FALSE,38,124.968,2,15000,1955,country style,,0.851,0.421,0.142,0.00104,2,0.263,-19.793,1,0.0371,4,0.439,https://i.scdn.co/image/ab67616d00001e02cda6275a62eccc0f99f735da
29-Oct-83,8,Uptown Girl,Billy Joel,1,05-Nov-83,5,5zA8vzDGqPl2AzZkEYQGKh,197706,FALSE,79,128.992,2,8500,1983,an innocent man,https://p.scdn.co/mp3-preview/4b8af3105f507737b8634eebecc486516274afd3?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0755,0.701,0.944,0,4,0.601,-2.986,1,0.0455,4,0.792,https://i.scdn.co/image/ab67616d00001e02814cbc4746358a25c84c62e7
30-Sep-78,9,Summer Nights,John Travolta and Olivia Newton-John,1,30-Sep-78,7,2AVkArcfALVk2X8sfPRzya,216373,FALSE,0,124.351,2,8100,1978,grease (the original motion picture soundtrack),,0.62,0.747,0.663,5.24E-05,2,0.0861,-9.415,1,0.0545,4,0.606,https://i.scdn.co/image/ab67616d00001e02b68df485f3304211904548a8
16-May-19,15,Hold Me While You Wait,Lewis Capaldi,4,16-May-19,3,60iSKGrGazRzICtMjADNSM,205686,FALSE,82,106.958,5,4600,2019,divinely uninspired to a hellish extent,,0.443,0.688,0.53,0,11,0.0995,-5.507,1,0.0333,4,0.162,https://i.scdn.co/image/ab67616d00001e02fc2101e6889d6ce9025f85f2
27-Apr-91,10,The Shoop Shoop Song (It's in His Kiss),Cher,1,04-May-91,5,5oV1YjM2rtyZ55txHHsFUu,170000,FALSE,68,117.04,4,400,1991,love hurts,,0.467,0.678,0.61,0,0,0.397,-10.509,1,0.0306,4,0.919,https://i.scdn.co/image/ab67616d00001e02401035ff4d67022fa4c0fad0
07-Sep-91,9,Insanity,Oceanic,3,28-Sep-91,3,6sCznWj74i01ePCUlZOgtO,392226,FALSE,0,127.004,1,1100,1991,insanity (2007 edit),,0.00219,0.651,0.801,0.256,0,0.113,-9.78,1,0.0341,4,0.809,https://i.scdn.co/image/ab67616d00001e02f315ed9180c490868affbc6c
